name,url
Nima Hejazi,https://www.hsph.harvard.edu/profile/nima-s-hejazi/
Miguel Hernan,https://www.hsph.harvard.edu/profile/miguel-hernan/
Michael D. Hughes,https://www.hsph.harvard.edu/profile/michael-d-hughes/
Curtis Huttenhower,https://www.hsph.harvard.edu/profile/curtis-huttenhower/
Rafael A. Irizarry,https://www.hsph.harvard.edu/profile/rafael-a-irizarry/
Peter Kraft,https://www.hsph.harvard.edu/profile/peter-kraft/
Erin K. Lake,https://www.hsph.harvard.edu/profile/erin-k-lake/
Christoph Lange,https://www.hsph.harvard.edu/profile/christoph-lange/
Kyu Ha Lee,https://www.hsph.harvard.edu/profile/kyu-ha-lee/
Liming Liang,https://www.hsph.harvard.edu/profile/liming-liang/
Xihong Lin,https://www.hsph.harvard.edu/profile/xihong-lin/
Junwei Lu,https://www.hsph.harvard.edu/profile/junwei-lu/
Heather Mattie,https://www.hsph.harvard.edu/profile/heather-mattie/
Franziska Michor,https://www.hsph.harvard.edu/profile/franziska-michor/
Jeffrey Miller,https://www.hsph.harvard.edu/profile/jeffrey-miller/
Rajarshi Mukherjee,https://www.hsph.harvard.edu/profile/rajarshi-mukherjee/
Rachel Nethery,https://www.hsph.harvard.edu/profile/rachel-nethery/
Donna Neuberg,https://www.hsph.harvard.edu/profile/donna-neuberg/
JP Onnela,https://www.hsph.harvard.edu/profile/jp-onnela/
Marcello Pagano,https://www.hsph.harvard.edu/profile/marcello-pagano/
Giovanni Parmigiani,https://www.hsph.harvard.edu/profile/giovanni-parmigiani/
Alkes Price,https://www.hsph.harvard.edu/profile/alkes-price/
John Quackenbush,https://www.hsph.harvard.edu/profile/john-quackenbush/
James M. Robins,https://www.hsph.harvard.edu/profile/james-m-robins/
Briana Joy K Stephenson,https://www.hsph.harvard.edu/profile/briana-joy-k-stephenson/
Marcia A Testa,https://www.hsph.harvard.edu/profile/marcia-a-testa/
Lorenzo Trippa,https://www.hsph.harvard.edu/profile/lorenzo-trippa/
Tyler J. VanderWeele,https://www.hsph.harvard.edu/profile/tyler-j-vanderweele/
L. J. Wei,https://www.hsph.harvard.edu/profile/l-j-wei/
Paige L. Williams,https://www.hsph.harvard.edu/profile/paige-l-williams/
